timestamp,throughput_mbps,channel_occupancy_percent,channel_occupancy_method,latency_ms,jitter_ms,packet_loss_udp_percent,poll_interval_s,tx_retries_per_s,tx_failed_per_s,rssi_dbm,connected_clients,rssi_delta_db,rssi_moving_avg_dbm,scenario,throughput_score,occupancy_score,retry_failed_score,jitter_score,congestion_score,label
2026-08-22 19:37:05,41.3,26.67,instantaneous_fallback,13.5,20.0,,4.0,830.5,830.5,-55.0,2,-1.5,-54.8,low_load,0.2753,0.2667,0.2658,0.0667,0.2382,0
2026-08-22 19:37:09,42.48,30.0,instantaneous_fallback,40.75,87.0,,4.0,1238.0,1238.0,-53.5,2,1.5,-54.4,low_load,0.2832,0.3,0.3962,0.29,0.3144,1
2026-08-22 19:37:13,41.82,40.0,instantaneous_fallback,10.5,8.0,,4.0,1539.5,1553.5,-54.5,2,-1.0,-54.1,low_load,0.2788,0.4,0.4949,0.0267,0.3387,1
2026-08-22 19:37:17,37.37,36.67,instantaneous_fallback,17.0,14.0,,4.0,807.5,807.5,-53.0,2,1.5,-53.9,low_load,0.2491,0.3667,0.2584,0.0467,0.2735,1
2026-08-22 19:37:22,48.21,30.0,instantaneous_fallback,24.5,53.0,,5.0,1778.8,1904.4,-54.0,2,-1.0,-54.0,low_load,0.3214,0.3,0.5893,0.1767,0.3436,1
2026-08-22 19:37:26,43.02,30.0,instantaneous_fallback,15.25,32.0,,4.0,1573.0,1594.0,-55.0,2,-1.0,-54.0,low_load,0.2868,0.3,0.5067,0.1067,0.3097,1
2026-08-22 19:37:30,42.26,23.33,instantaneous_fallback,14.0,11.0,,4.0,1068.5,1068.5,-53.5,2,1.5,-54.0,low_load,0.2817,0.2333,0.3419,0.0367,0.2352,0
2026-08-22 19:37:34,42.28,26.67,instantaneous_fallback,31.0,72.0,,4.0,1634.0,1634.0,-56.0,2,-2.5,-54.3,low_load,0.2819,0.2667,0.5229,0.24,0.317,1
2026-08-22 19:37:38,39.97,40.0,instantaneous_fallback,81.25,178.0,,4.0,1041.0,1041.0,-58.0,2,-2.0,-55.3,low_load,0.2665,0.4,0.3331,0.5933,0.3889,1
2026-08-22 19:37:43,46.04,33.33,instantaneous_fallback,34.75,68.0,,5.0,1291.2,1312.0,-55.0,2,3.0,-55.5,low_load,0.3069,0.3333,0.4165,0.2267,0.3287,1
2026-08-22 19:37:47,42.72,33.33,instantaneous_fallback,14.5,13.0,,4.0,1100.0,1100.0,-55.0,2,0.0,-55.5,low_load,0.2848,0.3333,0.352,0.0433,0.2838,1
2026-08-22 19:37:51,41.14,33.33,instantaneous_fallback,37.0,71.0,,4.0,807.0,807.0,-55.0,2,0.0,-55.8,low_load,0.2743,0.3333,0.2582,0.2367,0.292,1
2026-08-22 19:37:56,42.01,40.0,instantaneous_fallback,55.0,177.0,,5.0,1122.4,1122.4,-55.0,2,0.0,-55.6,low_load,0.2801,0.4,0.3592,0.59,0.3964,1
2026-08-22 19:38:00,43.1,36.67,instantaneous_fallback,87.5,200.0,,4.0,1770.0,1770.0,-54.0,2,1.0,-54.8,low_load,0.2873,0.3667,0.5664,0.6667,0.4358,1
2026-08-22 19:38:04,41.21,26.67,instantaneous_fallback,72.25,35.0,,4.0,1772.0,1773.0,-55.0,2,-1.0,-54.8,low_load,0.2747,0.2667,0.5672,0.1167,0.3059,1
2026-08-22 19:38:08,43.17,36.67,instantaneous_fallback,37.5,97.0,,4.0,2237.0,2238.0,-56.0,2,-1.0,-55.0,low_load,0.2878,0.3667,0.716,0.3233,0.4143,1
2026-08-22 19:38:12,42.34,30.0,instantaneous_fallback,15.0,10.0,,4.0,1711.5,1776.5,-54.0,2,2.0,-54.8,low_load,0.2823,0.3,0.5581,0.0333,0.3081,1
2026-08-22 19:38:17,41.72,26.67,instantaneous_fallback,15.5,21.0,,5.0,1288.0,1288.8,-54.5,2,-0.5,-54.7,low_load,0.2781,0.2667,0.4123,0.07,0.2686,1
2026-08-22 19:38:21,42.15,33.33,instantaneous_fallback,14.0,16.0,,4.0,1409.5,1410.5,-57.0,2,-2.5,-55.3,low_load,0.281,0.3333,0.4512,0.0533,0.3044,1
2026-08-22 19:38:25,41.91,37.93,instantaneous_fallback,13.0,21.0,,4.0,1296.0,1296.0,-54.0,2,3.0,-55.1,low_load,0.2794,0.3793,0.4147,0.07,0.32,1
2026-08-22 19:38:29,42.33,30.0,instantaneous_fallback,14.75,16.0,,4.0,1407.5,1407.5,-53.5,2,0.5,-54.6,low_load,0.2822,0.3,0.4504,0.0533,0.2895,1
2026-08-22 19:38:33,42.35,36.67,instantaneous_fallback,32.25,60.0,,4.0,1163.0,1163.0,-57.0,2,-3.5,-55.2,low_load,0.2823,0.3667,0.3722,0.2,0.3259,1
2026-08-22 19:38:37,42.25,46.67,instantaneous_fallback,9.75,5.0,,4.0,915.0,915.0,-58.5,2,-1.5,-56.0,low_load,0.2817,0.4667,0.2928,0.0167,0.3274,1
2026-08-22 19:38:41,41.86,36.67,instantaneous_fallback,20.5,23.0,,4.0,880.0,880.0,-48.5,2,10.0,-54.3,low_load,0.2791,0.3667,0.2816,0.0767,0.2887,1
2026-08-22 19:38:45,41.26,36.67,instantaneous_fallback,20.0,39.0,,4.0,515.5,515.5,-48.5,2,0.0,-53.2,low_load,0.2751,0.3667,0.165,0.13,0.2725,1
2026-08-22 19:38:49,41.78,33.33,instantaneous_fallback,34.75,81.0,,4.0,699.0,699.0,-57.5,2,-9.0,-54.0,low_load,0.2785,0.3333,0.2237,0.27,0.2909,1
2026-08-22 19:38:53,43.63,50.0,instantaneous_fallback,15.0,17.0,,4.0,1052.0,1052.0,-55.5,2,2.0,-53.7,low_load,0.2909,0.5,0.3366,0.0567,0.359,1
2026-08-22 19:38:58,41.88,36.67,instantaneous_fallback,34.75,80.0,,5.0,497.2,497.2,-55.5,2,0.0,-53.1,low_load,0.2792,0.3667,0.1591,0.2667,0.2927,1
2026-08-22 19:39:02,42.07,43.33,instantaneous_fallback,21.25,43.0,,4.0,911.0,924.0,-56.0,2,-0.5,-54.6,low_load,0.2805,0.4333,0.2936,0.1433,0.3313,1
2026-08-22 19:39:06,42.32,36.67,instantaneous_fallback,12.0,5.0,,4.0,1033.5,1036.5,-52.5,2,3.5,-55.4,low_load,0.2821,0.3667,0.3312,0.0167,0.2902,1
2026-08-22 19:39:10,41.83,30.0,instantaneous_fallback,20.5,27.0,,4.0,661.0,661.0,-55.5,2,-3.0,-55.0,low_load,0.2789,0.3,0.2115,0.09,0.2466,0
2026-08-22 19:39:14,41.95,43.33,instantaneous_fallback,72.0,107.0,,4.0,597.5,597.5,-55.0,2,0.5,-54.9,low_load,0.2797,0.4333,0.1912,0.3567,0.3427,1
